DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
314.07,282.84,3369.05,8.82,315.95
236.76,213.26,3369.05,7.42,235.82
181.79,166.8,3369.05,5.93,179.8
138.59,129.52,3369.05,4.12,137.28
98.51,92.97,3369.05,2.25,98.17
64.55,60.89,3369.05,1.23,64.83
35.12,32.96,3369.05,0.62,35.58
10.48,9.83,3369.05,0.19,10.7
0.21,0.19,3369.05,0.01,0.21
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
6.28,7.73,3369.05,0.0,5.53
24.87,29.22,3369.05,0.14,22.62
50.85,57.33,3369.05,0.36,47.8
82.76,90.48,3369.05,0.97,80.08
123.18,129.44,3369.05,1.83,122.21
167.58,168.64,3369.05,2.6,169.24
215.92,211.92,3369.05,3.54,218.09
275.76,276.45,3369.05,4.81,270.21
344.47,363.64,3369.05,6.38,327.72
420.96,466.78,3369.05,8.77,291.84
501.83,573.31,3369.05,11.57,351.77
592.04,686.96,3369.05,13.48,414.15
680.29,812.32,3369.05,15.93,480.19
767.95,939.23,3369.05,19.72,548.72
858.52,1071.83,3369.05,23.6,618.71
958.86,1206.44,3369.05,27.35,693.88
1069.11,1334.4,3369.05,30.61,775.33
1176.36,1447.25,3369.05,32.55,861.9
1279.74,1547.29,3369.05,34.36,955.11
1376.59,1640.55,3369.05,36.35,1052.05
1473.17,1728.85,3369.05,37.63,1146.87
1572.43,1814.4,3369.05,39.99,1359.38
1674.95,1882.32,3369.05,46.08,1441.64
1764.81,1934.08,3369.05,51.97,1524.38
1843.01,1976.42,3369.05,58.73,1608.41
1913.53,2009.18,3369.05,60.87,1696.7
1980.46,2033.7,3369.05,61.28,1780.99
2029.82,2050.36,3369.05,63.31,1845.33
2060.01,2058.71,3369.05,63.56,1898.8
2078.77,2058.64,3369.05,63.5,1944.72
2085.22,2050.82,3369.05,63.08,1980.85
2085.92,2035.97,3369.05,63.04,2004.77
2082.53,2014.33,3369.05,62.06,2017.94
2069.51,1986.63,3369.05,61.02,2193.39
2045.42,1953.16,3369.05,61.69,2184.39
2013.28,1912.48,3369.05,61.55,2169.59
1978.58,1864.58,3369.05,62.19,2144.37
1937.06,1809.18,3369.05,61.02,2104.2
1890.92,1748.57,3369.05,59.66,2053.9
1835.86,1680.97,3369.05,56.75,1984.84
1764.85,1607.74,3369.05,51.49,1896.2
1682.23,1529.76,3369.05,48.95,1750.41
1600.32,1449.53,3369.05,46.12,1656.3
1515.46,1365.94,3369.05,42.83,1559.21
1427.97,1281.23,3369.05,40.49,1459.16
1333.54,1194.57,3369.05,37.56,1356.92
1233.98,1102.93,3369.05,32.87,1251.77
1135.25,1007.21,3369.05,30.21,1140.87
1030.72,906.32,3369.05,25.23,1031.81
921.99,807.62,3369.05,20.11,920.3
812.86,712.35,3369.05,16.99,809.84
708.71,621.58,3369.05,15.68,709.89
609.9,537.72,3369.05,13.59,610.61
509.86,451.78,3369.05,11.84,513.68
