DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
583.01,180.64,988.54,451.81,1952.39,3157.18,0.19,502.45,596.78
576.99,176.95,980.65,442.87,1937.33,3157.18,0.18,502.59,575.37
570.94,173.26,972.78,433.92,1922.28,3157.18,0.18,502.76,568.69
564.08,171.6,960.99,424.52,1908.12,3157.18,0.16,575.48,516.46
556.4,171.97,945.28,414.69,1894.84,3157.18,0.16,560.69,519.62
548.71,172.32,929.57,404.86,1881.56,3157.18,0.17,545.91,531.55
541.04,172.69,913.86,395.03,1868.28,3157.18,0.17,531.11,536.65
538.49,177.07,904.17,384.82,1856.37,3157.18,0.19,526.06,596.83
541.09,185.48,900.5,374.25,1845.82,3157.18,0.21,530.71,676.95
543.69,193.89,896.84,363.68,1835.3,3157.18,0.25,535.37,778.3
546.29,202.3,893.17,353.11,1824.74,3157.18,0.27,540.02,864.39
539.24,201.33,879.6,342.38,1815.61,3157.18,0.28,545.35,873.08
522.52,190.98,856.15,331.51,1807.86,3157.18,0.26,551.36,827.05
505.81,180.65,832.69,320.63,1800.1,3157.18,0.21,557.37,672.94
489.09,170.3,809.23,309.76,1792.35,3157.18,0.2,563.37,619.44
480.14,167.18,794.13,298.99,1785.79,3157.18,0.18,563.11,580.19
478.96,171.27,787.4,288.32,1780.41,3157.18,0.18,556.59,565.52
477.78,175.36,780.67,277.65,1775.02,3157.18,0.16,550.05,520.3
476.59,179.45,773.94,266.98,1769.65,3157.18,0.15,543.52,478.37
475.81,183.19,768.21,256.68,1765.2,3157.18,0.14,541.29,432.08
475.44,186.57,763.45,246.75,1761.7,3157.18,0.14,543.34,430.01
475.06,189.95,758.71,236.82,1758.19,3157.18,0.15,545.4,471.98
474.69,193.33,753.95,226.89,1754.69,3157.18,0.16,547.45,508.08
476.49,197.18,753.56,217.55,1752.0,3157.18,0.16,546.13,504.25
480.49,201.5,757.52,208.78,1750.11,3157.18,0.15,570.1,484.42
484.48,205.83,761.49,200.02,1748.21,3157.18,0.19,594.07,588.97
488.48,210.15,765.45,191.26,1746.32,3157.18,0.21,618.04,652.26
494.17,211.06,776.43,183.45,1745.22,3157.18,0.21,637.68,677.2
501.55,208.55,794.43,176.58,1744.9,3157.18,0.22,652.99,699.61
508.93,206.04,812.44,169.71,1744.58,3157.18,0.22,668.3,707.48
516.3,203.54,830.45,162.83,1744.25,3157.18,0.2,683.6,635.63
